sampleID	Bucket	SampleNumber	SampleType	FLWC_Detail	FLWC_Age_Months	FLWC_Location	Sampler_Initials	Bulking_Material_Detail	Composting_Time_Point	Date	Season	Crate_Location	Temp_Top_Bucket_C	Temp_Bottom_Bucket_C	Average_Ambient_Temp	Wt_Bucket_Compost_Kg	Wt_Bucket_Kg	Wt_Compost_Kg	Observations_Outside_Bucket	Observations_Vent_Tube	Visible_Contents_Access_Port	Compost_Temp_C	Compost_Moisture_Percent	Sample_Weight_g	Observed_Sample_Color	Observed_Sample_Moisture	Observed_Sample_Contents	Observed_Sample_Smell	Observed_Sample_Organisms_YN	Organism_Type	Length_Observed_Organism_mm	Compost_pH	Notes_Comments	sample_uuid	Sequenced_16S	Sequenced_18S	Sequenced_ITS	Sequenced_Metagenome
S_ccbfb567	1	18	Human Excrement Compost				JM		4	2021-10-21	Fall	4	16.5	17.3	16.9	5.2	1.35	3.85	manYsmall dead black flies on crate floor and on buckets	large dead flies; small black flies	fine grained sawdust; straw	13.5	52	3.3					Y	brown pupa; small black flies	3; 1	8	Mixing appears to be effective		Y		Y	
S_10839ec1	1	19	Human Excrement Compost Pre-Roll				JM		5	2021-10-28	Fall	5	19.5	12	15.75	5.1	1.35	3.75	small dead black flies on crate floor; small dead black flies on bucket	large dead flies; small black flies	straw; large air pocket	13.7	63	1.6					N			8	Soil moisture probe broken		Y			
S_600569a7	1	20	Human Excrement Compost				JM		5	2021-10-28	Fall	5	17	19	18	5.1	1.35	3.75	small dead black flies on crate floor; small dead black flies on bucket	large dead flies; small black flies	straw; large air pocket; slight compaction	13.9		1.7					N			7	Soil moisture probe broken		Y			Y
S_18ee67fd	1	21	Human Excrement Compost Pre-Roll				JM		6	2021-11-04	Fall	6	15.5	11	13.25	5.1	1.35	3.75	small dead black flies on crate floor; small dead black flies on bucket	large dead flies; small black flies	straw; small air pocket; slight compaction	11.7		1.8					N			7	Soil moisture probe broken. Started taking access port images; bucket images; and vent tube deep		Y			
S_b0d60bcd	1	22	Human Excrement Compost				JM		6	2021-11-04	Fall	6	13.5	13	13.25	5.1	1.35	3.75	small dead black flies on crate floor; small dead black flies on bucket	large dead flies; small black flies	fine grained sawdust; straw	11.6		1.9					N			7	Soil moisture probe broken. Started taking access port images; bucket images; and vent tube deep		Y		Y	
S_1c7376f1	1	23	Human Excrement Compost Pre-Roll				JM		7	2021-11-11	Fall	7	19	12	15.5	5.1	1.35	3.75	living flies on bucket; small dead black flies	large dead flies; living black flies	straw	11.7	12	2					N			7			Y			
S_b9f1a9d7	1	24	Human Excrement Compost				JM		7	2021-11-11	Fall	7	16	17	16.5	5.1	1.35	3.75	living flies on bucket; small dead black flies	large dead flies; living black flies	large air pocket; straw	12.8	9	2.3					Y	brown pupa	3	7			Y			Y
S_71e19b3f	1	25	Human Excrement Compost Pre-Roll				JM		8	2021-11-18	Fall	8	13	11	12	5	1.35	3.65		large dead flies	large air pocket; straw	10.3	70	2.4					N			7			Y			
S_10583739	1	26	Human Excrement Compost				JM		8	2021-11-18	Fall	8	16	11	13.5	5	1.35	3.65			large air pocket; straw	10	57	2					N			7			Y		Y	
S_07717ac5	1	27	Human Excrement Compost Pre-Roll				JM		9	2021-11-24		9	11	11	11	5.1	1.35	3.75		fine grained sawdust; small black flies	small air pocket; straw	11.4		2.1					N			6.4	Changed pH paper to Hydrion		Y			
S_3983043e	1	28	Human Excrement Compost				JM		9	2021-11-24		9	13	11	12	5.1	1.35	3.75		fine grained sawdust; small black flies	small air pocket; straw	11.4		1.8					N			6			Y			Y
S_7597783b	1	29	Human Excrement Compost Pre-Roll				JM		10	2021-12-02		10	13	11	12	5.1	1.35	3.75		fine grained sawdust; small black flies	small air pocket; straw	9.6	63	2					N			5.2			Y			
S_a6bfb7f3	1	30	Human Excrement Compost				JM		10	2021-12-02		10	12	11	11.5	5.1	1.35	3.75		fine grained sawdust; small black flies	small air pocket; straw	10.1	46	2					Y	white larva	3	5	Decomposition appears to be happening. These samples have smaller and darker pieces of straw. 1 white larva		Y		Y	
S_160603ff	1	31	Human Excrement Compost Pre-Roll				JM		11	2021-12-09		11	11.5	10	10.75	5	1.35	3.65		fine grained sawdust	small air pocket; straw	11		1.9					N			6			Y			
S_21efab81	1	32	Human Excrement Compost				JM		11	2021-12-09		11	11	10	10.5	5	1.35	3.65		fine grained sawdust	small air pocket; straw	11.1		2.1					N			5.5			Y			Y
S_9f9d2f0b	1	33	Human Excrement Compost Pre-Roll				JM		12	2021-12-16		12	9	7	8	5	1.35	3.65		large black flies; fine grained sawdust	straw	8.9	50	2.2					N			5.5			Y			
S_fbbd6534	1	34	Human Excrement Compost				JM		12	2021-12-16		12	9.5	6	7.75	5	1.35	3.65		large black flies; fine grained sawdust	straw	8.7	40	2.2					Y	brown pupae	3	5.5			Y		Y	
S_c8a6a2b8	1	35	Human Excrement Compost Pre-Roll				JM		12	2021-12-23		13	11.5	10	10.75	4.9	1.35	3.55		dried brown liquid; fine grained sawdust	straw; fine grained sawdust; small air pockets	11.5	34	2.2					N			5.8			Y			
S_ad2c769a	1	36	Human Excrement Compost				JM		13	2021-12-23		13	12	11	11.5	4.9	1.35	3.55		dried brown liquid; fine grained sawdust	straw; fine grained sawdust; small air pockets	11.5	44	2.1					N			5.8			Y			Y
S_dd8d0a2e	1	37	Human Excrement Compost Pre-Roll				JM		14	2021-12-30		14	8	8	8	5	1.35	3.65		dried brown liquid; fine grained sawdust	straw; fine grained sawdust; small air pockets	8.9	73	1.9					N			6			Y			
S_be34ec8f	1	38	Human Excrement Compost				JM		14	2021-12-30		14	8	8	8	5	1.35	3.65		dried brown liquid; fine grained sawdust	straw; fine grained sawdust; small air pockets	8.6	54	2.1					Y	unidentified organism	10	6			Y		Y	
S_091cbf06	1	39	Human Excrement Compost Pre-Roll				JM		15	2022-01-06		15	11	10	10.5	5	1.35	3.65		fine grained sawdust; large black fly	straw; fine grained sawdust	9.3	65	2.2					N			5.8			Y			
S_08a10d08	1	40	Human Excrement Compost				JM		15	2022-01-06		15	11	11	11	5	1.35	3.65		fine grained sawdust; large black fly	straw; fine grained sawdust	10	67	2					N			5.8			Y			Y
S_4fdf0f24	1	41	Human Excrement Compost Pre-Roll				JM		16	2022-01-13		16	10	10	10	4.9	1.35	3.55		fine grained sawdust; large black fly	straw; fine grained sawdust	9.4	59	2.1					N			5.8			Y			
S_23d304d9	1	42	Human Excrement Compost				JM		16	2022-01-13		16	11	10	10.5	4.9	1.35	3.55		fine grained sawdust; large black fly	straw; fine grained sawdust	9.3	42	2					N			5.5			Y		Y	
S_1b141933	1	43	Human Excrement Compost Pre-Roll				JM		17	2022-01-20		17	10.5	9	9.75	4.9	1.35	3.55		fine grained sawdust; large black fly	straw; feces; fine grained sawdust	9.4	53	2					N			5.5			Y			
S_57363d31	1	44	Human Excrement Compost				JM		17	2022-01-20		17	11	10	10.5	4.9	1.35	3.55		fine grained sawdust; large black fly	straw; fine grained sawdust	9.1	38	2.3					N			5.5			Y			Y
S_80047213	1	45	Human Excrement Compost Pre-Roll				JM		18	2022-01-27		18	10.5	11	10.75	5	1.35	3.65		fine grained sawdust	fine grained sawdust; straw	8.8	35	2					N			5.8			Y			
S_91ca943b	1	46	Human Excrement Compost				JM		18	2022-01-27		18	11	10	10.5	5	1.35	3.65		fine grained sawdust	fine grained sawdust; straw	9.8	62	2					N			5.8			Y	Y	Y	
S_954ce831	1	47	Human Excrement Compost Pre-Roll				JM		19	2022-02-03		19	9	7	8	4.9	1.35	3.55		straw	straw	7.5	75	2					N			6			Y			
S_bf42ed51	1	48	Human Excrement Compost				JM		19	2022-02-03		19	9	7	8	4.9	1.35	3.55		straw	straw	7.8	51	2					N			5.8			Y			Y
S_3480f3ba	1	49	Human Excrement Compost Pre-Roll				LW		20	2022-02-10		20	10	9	9.5	4.8	1.35	3.45		straw	straw	9.1		2					N			6	Broken moisture probe; air pocket		Y			
S_1a0c0f7f	1	50	Human Excrement Compost				LW		20	2022-02-10		20				4.8	1.35	3.45		straw	straw; toilet paper	8.7		2					N			5.8	Broken moisture probe; air pocket		Y		Y	
S_53f9bb55	1	51	Human Excrement Compost Pre-Roll				JM		21	2022-02-17		1	10	9	9.5	4.9	1.35	3.55		fine grained sawdust; dried brown residue; 1 black fly	straw; fine grained sawdust	8.9	44	2					N			5.5			Y			
S_aa4dade6	1	52	Human Excrement Compost				JM		21	2022-02-17		1	10	9	9.5	4.9	1.35	3.55		fine grained sawdust; dried brown residue; 1 black fly	straw; fine grained sawdust	8.9	51	2					N			5.8			Y			Y
S_a12e8577	1	53	Human Excrement Compost Pre-Roll				JM		22	2022-02-24		2	13	12	12.5	4.9	1.35	3.55	small dead black flies	fine grained sawdust; dried brown residue; 1 large black fly	straw; fine grained sawdust; feces	9.1	41	2					N			5.8	Decomposition of straw is evident		Y			
S_ee2cdea2	1	54	Human Excrement Compost				JM		22	2022-02-24		2	13	12	12.5	4.9	1.35	3.55		fine grained sawdust; dried brown residue; 1 large black fly	straw; fine grained sawdust; feces	10.5	55	2					N			5.8			Y		Y	
S_479c0228-1	1	55	Human Excrement Compost Pre-Roll				JM		23	2022-03-03		3	15	14	14.5	4.9	1.35	3.55	small dead black flies	fine grained sawdust; brown residue	straw; fine grained sawdust	10.1	28	2					N			5.8			Y			
S_479c0228-2	1	55	Human Excrement Compost Pre-Roll				JM		23	2022-03-03		3	15	14	14.5	4.9	1.35	3.55	small dead black flies	fine grained sawdust; brown residue	straw; fine grained sawdust	10.1	28	2					N			5.8			Y			
S_d99722f2	1	56	Human Excrement Compost				JM		23	2022-03-03		3				4.9	1.35	3.55		fine grained sawdust; brown residue	straw; fine grained sawdust	10.8	45	2					N			5.8			Y			Y
S_d99722f2-X2	1	56	Human Excrement Compost				JM		23	2022-03-03		3				4.9	1.35	3.55		fine grained sawdust; brown residue	straw; fine grained sawdust	10.8	45	2					N			5.8			Y		Y	
S_bc30d985-1	1	57	Human Excrement Compost Pre-Roll				TL		24	2022-03-08		4	10	10	10	4.8	1.35	3.45	small dead black flies	brown residue; small live black fly	straw; fine grained sawdust	9.3	61	2					Y	brown pupae	5	6			Y			
S_bc30d985-2	1	57	Human Excrement Compost Pre-Roll				TL		24	2022-03-08		4	10	10	10	4.8	1.35	3.45	small dead black flies	brown residue; small live black fly	straw; fine grained sawdust	9.3	61	2					Y	brown pupae	5	6			Y			
S_8bf744cb	1	58	Human Excrement Compost				TL		24	2022-03-08		4	11	10	10.5	4.8	1.35	3.45		brown residue; small live black fly	straw; fine grained sawdust	10.1	45	2					N			5.8			Y			
S_8bf744cb-X2	1	58	Human Excrement Compost				TL		24	2022-03-08		4	11	10	10.5	4.8	1.35	3.45		brown residue; small live black fly	straw; fine grained sawdust	10.1	45	2					N			5.8			Y		Y	
S_97c40c09-2	1	59	Human Excrement Compost Pre-Roll				TL		25	2022-03-24		4	11	13	12	4.8	1.35	3.45	small dead black flies	brown residue	straw; fine grained sawdust	10.3	55	2					N			5.8			Y			
S_97c4ac09-1	1	59	Human Excrement Compost Pre-Roll				TL		25	2022-03-24		4	11	13	12	4.8	1.35	3.45	small dead black flies	brown residue	straw; fine grained sawdust	10.3	55	2					N			5.8			Y			
S_804ba3e0	1	60	Human Excrement Compost				TL		25	2022-03-24		4	11.5	13	12.25	4.8	1.35	3.45		brown residue	straw; fine grained sawdust	10.5	46	2					Y	brown pupae	5	5.8			Y			Y
S_804ba3e0-X2	1	60	Human Excrement Compost				TL		25	2022-03-24		4	11.5	13	12.25	4.8	1.35	3.45		brown residue	straw; fine grained sawdust	10.5	46	2					Y	brown pupae	5	5.8			Y			
S_78ed96be-1	1	61	Human Excrement Compost Pre-Roll				TL		26	2022-03-31		5	17	18	17.5	4.8	1.35	3.45	small dead black flies	sawdust; brown residue	straw; fine grained sawdust; large airpocket	11.4	47	2					N			5.8			Y			
S_78ed96be-2	1	61	Human Excrement Compost Pre-Roll				TL		26	2022-03-31		5	17	18	17.5	4.8	1.35	3.45	small dead black flies	sawdust; brown residue	straw; fine grained sawdust; large airpocket	11.4	47	2					N			5.8			Y			
S_54e50c47	1	62	Human Excrement Compost				TL		26	2022-03-31		5	14.5	15	14.75	4.8	1.35	3.45		sawdust; brown residue	straw; fine grained sawdust; feces	11.2	55	2					N			5.8			Y		Y	
S_54e50c47-X2	1	62	Human Excrement Compost				TL		26	2022-03-31		5	14.5	15	14.75	4.8	1.35	3.45		sawdust; brown residue	straw; fine grained sawdust; feces	11.2	55	2					N			5.8			Y			
S_4f9c40bf	1	63	Human Excrement Compost Pre-Roll				TL		27	2022-04-07		6	20	21	20.5	4.7	1.35	3.35	small dead flies	sawdust; brown residue	straw; fine grained sawdust; air pocket	12.5	50	2					Y	brown pupae	5	6			Y			
S_88b521dc	1	64	Human Excrement Compost				TL		27	2022-04-07		6	14.5	15	14.75	4.7	1.35	3.35		sawdust; brown residue	straw; fine grained sawdust; air pocket	12.2	46	2					N			5.8			Y			Y
S_ef8dfaa4	1	65	Human Excrement Compost Pre-Roll				JM		28	2022-04-14		7	15.5	16	15.75	4.8	1.35	3.45		sawdust; brown residue	straw; fine grained sawdust	10.9	78	2					N			5.8			Y			
S_43139e8d	1	66	Human Excrement Compost				JM		28	2022-04-14		7	15.5	15	15.25	4.8	1.35	3.45		sawdust; brown residue	straw; fine grained sawdust	10.7	82	2					N			5.8			Y		Y	
S_4d702a11	1	67	Human Excrement Compost Pre-Roll				TL		29	2022-04-21		8	22	22	22	4.7	1.35	3.35		sawdust; brown residue	sawdust	12.9	68	2					N			5.8			Y			
S_57d498a9	1	68	Human Excrement Compost				TL		29	2022-04-21		8	16	17	16.5	4.7	1.35	3.35		sawdust; brown residue	sawdust	12.5	100	2					N			5.8			Y			Y
S_13d36a09	1	69	Human Excrement Compost Pre-Roll				TL		30	2022-04-28		9	23.5	22	22.75	4.8	1.35	3.45	Small black dead flies	sawdust	sawdust	10.8	77	2					N			4.8			Y			
S_df938977	1	70	Human Excrement Compost				TL		30	2022-04-28		9	15.5	16	15.75	4.8	1.35	3.45		sawdust	sawdust	10.9	78	2					N			4.8			Y		Y	
S_615c498b	1	71	Human Excrement Compost Pre-Roll				ST		31	2022-05-05		10	21	22	21.5	4.7	1.35	3.35	small dead black flies	sawdust	large air pocket, sawdust, live small black fly	10.2	41	2					N			5						
S_4b10351e	1	72	Human Excrement Compost				ST		31	2022-05-05		10	15	15	15	4.7	1.35	3.35		sawdust	sawdust	11.2	37	2					Y	small black fly	1	5			Y			Y
S_5185a4ec	1	73	Human Excrement Compost Pre-Roll				ST		32	2022-05-12		11	12	12	12	4.6	1.35	3.25	small dead black flies	sawdust; live black flies	large air pocket; sawdust; feces	9.8	52	2					N			5						
S_d7cfade5	1	74	Human Excrement Compost				ST		32	2022-05-12		11	11	11	11	4.6	1.35	3.25		sawdust; live black flies	sawdust, feces	10.1	55	2					N			5			Y		Y	
S_d3079d55	1	75	Human Excrement Compost Pre-Roll				ST		33	2022-05-19		12	17.5	16	16.75	4.7	1.35	3.35	small dead black flies	sawdust; brown residue	straw; sawdust; feces	13.8	52	2					N			5						
S_569d1235	1	76	Human Excrement Compost				ST		33	2022-05-19		12	14	14	14	4.7	1.35	3.35		sawdust; brown residue	straw; sawdust; feces	13.7	53	2					N			5			Y			Y
S_0dfcf380	1	77	Human Excrement Compost Pre-Roll				ST		34	2022-05-26		13	16.5	16	16.25	4.6	1.35	3.25		sawdust	straw; sawdust; feces	13.9	81	2					N			5						
S_fe49c668	1	78	Human Excrement Compost				ST		34	2022-05-26		13	17.5	16	16.75	4.6	1.35	3.25		sawdust	straw; sawdust; feces	14.5	100	2					N			5			Y		Y	
S_7f3f0938	1	79	Human Excrement Compost Pre-Roll				ST		35	2022-06-02		14	16.5	16	16.25	4.7	1.35	3.35	small dead black flies	sawdust; brown residue	air pocket; straw; sawdust; feces	13.6	52	2					N			5						
S_707fc600	1	80	Human Excrement Compost				ST		35	2022-06-02		14	16	16	16	4.7	1.35	3.35		sawdust; brown residue	air pocket; straw; sawdust; feces	14.1	27	2					N			5			Y	Y		Y
S_01844c14	1	81	Human Excrement Compost Pre-Roll				ST		36	2022-06-09		15	20	21	20.5	4.6	1.35	3.25	small dead black flies	sawdust; brown residue; live black flies	straw; sawdust; feces	16.6	83	2					N			5						
S_766a6fd3	1	82	Human Excrement Compost				ST		36	2022-06-09		15	21.5	20	20.75	4.6	1.35	3.25		sawdust; brown residue; live black flies	straw; sawdust; feces	17.7	100	2					N			5			Y		Y	
S_6609c390	1	83	Human Excrement Compost Pre-Roll				ST		37	2022-06-16		16	29	31	30	4.6	1.35	3.25		sawdust; brown residue	straw; sawdust; feces; air pocket	16.6	100	2					N			5						
S_9f026ebd	1	84	Human Excrement Compost				ST		37	2022-06-16		16	25	25	25	4.6	1.35	3.25		sawdust; brown residue	straw; sawdust; feces; air pocket	18.1	100	2					N			5			Y			Y
S_17d49ca5	1	85	Human Excrement Compost Pre-Roll				ST		38	2022-06-23		17	21	21	21	4.6	1.35	3.25		sawdust; brown residue; live black flies	straw; sawdust; feces; air pocket; brown larva	15.7	70	2					Y	brown pupae	5	4						
S_0d880a4e	1	86	Human Excrement Compost				ST		38	2022-06-23		17	22.5	21	21.75	4.6	1.35	3.25		sawdust; brown residue	straw; sawdust; feces; air pocket	17.9	71	2					Y	brown pupae	5	4			Y		Y	
S_ee26234e	1	87	Human Excrement Compost Pre-Roll				ST		39	2022-06-30		18																										
S_35e6158b	1	88	Human Excrement Compost				ST		39	2022-06-30		18	18.5	19	18.75	4.6	1.35	3.25		sawdust; brown residue	straw; sawdust; feces; air pocket	17.6	62	2					Y	brown pupae	5	4			Y			Y
S_4c670d4c	1	89	Human Excrement Compost Pre-Roll				JM		40			19																										
S_7ae67d3b	1	90	Human Excrement Compost				ST		40	2022-07-07		19	26	19	22.5	4.6	1.35	3.25	fly tape residue	sawdust; brown residue	straw; sawdust; feces; air pocket	17.4	51	2					N			5			Y		Y	
S_d7293436	1	91	Human Excrement Compost Pre-Roll				JM		41			20																										
S_74b5cb3c	1	92	Human Excrement Compost				ST		41	2022-07-14		20	23.5	24	23.75	4.4	1.35	3.05	fly tape residue	sawdust; brown residue	straw; sawdust; feces; large air pocket	20.7	65	2					Y	brown pupa	5	4	changed 74b5c63c to 74b5cb3c 1.13.23		Y			Y
S_96b97f6c	1	94	Human Excrement Compost				ST		42	2022-07-21		1	18	18	18	4.5	1.35	3.15	fly tape residue	sawdust; brown residue	straw; sawdust; feces; large air pocket	17.8	67	2					N			4.5			Y		Y	
S_4b575043	1	96	Human Excrement Compost				ST		43	2022-07-28		2	19	20	19.5	4.5	1.35	3.15	fly tape residue	sawdust; brown residue	straw; sawdust; feces; large air pocket	17.7	84	2					N			4.5			Y			Y
S_fd4e0e08	1	98	Human Excrement Compost				ST		44	2022-08-04		3	18	18	18	4.5	1.35	3.15	fly tape residue	sawdust; brown residue	straw; sawdust; feces; large air pocket	17.8	79	2					N			4.5			Y		Y	
S_3827fa68	1	100	Human Excrement Compost				ST		45	2022-08-11		4	18.5	19	18.75	4.5	1.35	3.15	fly tape residue	sawdust; brown residue	straw; sawdust; feces; large air pocket	16.9	80	2					N			4.5			Y			Y
S_3734301d	1	102	Human Excrement Compost				JM		46	2022-08-18		5	20.5	21	20.75	4.5	1.35	3.15	fly tape residue	sawdust; brown residue	straw; sawdust; feces; large air pocket	16.9	88	2					N			4.5			Y		Y	
S_1faeaab8	1	104	Human Excrement Compost				ST		47	2022-08-25		6	17.5	18	17.75	4.5	1.35	3.15	fly tape residue	sawdust; brown residue	straw; sawdust; feces	17	64	2					N			4.5			Y			Y
S_ec4739c31	1	106	Human Excrement Compost				KVO		48	2022-09-01		7	20.5	21	20.75	4.5	1.35	3.15	fly tape residue	sawdust; brown residue	straw; sawdust	16.1	66	2					N			4.5	changed ec4739c3 to ec4739c31 1.14.23 due to extra letter		Y		Y	
S_7033a672	1	108	Human Excrement Compost				KVO		49	2022-09-08		8	20	20	20	4.4	1.35	3.05	fly tape residue	sawdust; brown residue	straw: sawdust	16.3	79	2					N			4.5			Y			Y
S_b87b9e91	1	110	Human Excrement Compost				KVO		50	2022-09-14		9	17	18	17.5	4.4	1.35	3.05	fly tape residue: flies	sawdust; brown residue	straw: sawdust; feces	14.2	81	2					N			4.5			Y		Y	
S_b913c396	1	112	Human Excrement Compost				KVO		51	2022-09-22		10	18	18	18	4.4	1.35	3.05	fly tape residue; flies	sawdust; brown residue	straw: sawdust	16.3	90	2					N			4.5			Y			Y
S_28e8fe8c	1	114	Human Excrement Compost				KVO		52	2022-09-29		11	14.5	15	14.75	4.4	1.35	3.05	fly tape residue	sawdust; brown residue	straw; sawdust	13.7	83	2					N			4.5			Y	Y	Y	
S_c73399d9	1		Human Excrement Compost				PI			2023-08-03		12	20	20	20	4.2	1.35	2.85		straw	straw	15.5	85	2					N			5	Samples collected; DNA not extracted					
S_37a0dab4	2	1	Bulking Material				Participant	Fine Grained Sawdust		2021-09-28																									Y	Y		Y
S_c8a0b7a4	2	2	Inside Toilet Pre Use				Participant			2021-08-20																									Y			Y
S_48bb98a3	2	3	Soil Nearby Toilet				Participant			2021-08-20																									Y			Y
S_606a52cd	2	4	Human Excrement				Participant			2021-09-28																									Y	Y		Y
S_1d93cc7a	2	5	Human Excrement				Participant			2021-10-05																									Y	Y		Y
S_d786fc27	2	6	Human Excrement				Participant			2021-10-12																									Y	Y		Y
S_08e1628a	2	7	Human Excrement Compost Pre-Roll				JM		1	2021-10-21	Fall	3	18.9	19.3	19.1	5.1	1.35	3.75		fine grained sawdust	fine grained sawdust	11.4	68	2.1					N			8.5						
S_9c1cab57	2	8	Human Excrement Compost				JM		1	2021-10-21	Fall	3	18.6	20.3	19.45	5.1	1.35	3.75		fine grained sawdust	fine grained sawdust	12.1	34	2.3					N			7.5	Sawdust comes out of vent tube during rolling		Y	Y		Y
S_3aabd4ea	2	9	Human Excrement Compost Pre-Roll				JM		2	2021-10-28	Fall	4	23	21	22	5.2	1.35	3.85		fine grained sawdust	fine grained sawdust; toilet paper	15.5		2.3					N			7.5	Soil moisture probe broken					
S_d01b903a	2	10	Human Excrement Compost				JM		2	2021-10-28	Fall	4	24	23	23.5	5.2	1.35	3.85		fine grained sawdust	fine grained sawdust; toilet paper	19.3		1.6					N			8	Soil moisture probe broken		Y		Y	
S_6cb63903	2	11	Human Excrement Compost Pre-Roll				JM		3	2021-11-04	Fall	5	14	12	13	5.1	1.35	3.75		fine grained sawdust	fine grained sawdust	12.9		2.2					N			7.5	Soil moisture probe broken. Started taking access port images; bucket images; and vent tube deep					
S_efb6e8cc	2	12	Human Excrement Compost				JM		3	2021-11-04	Fall	5	14	12	13	5.1	1.35	3.75		fine grained sawdust	fine grained sawdust	13		1.9					N			7.5	Soil moisture probe broken. Started taking access port images; bucket images; and vent tube deep		Y			Y
S_8fcd06e3	2	13	Human Excrement Compost Pre-Roll				JM		4	2021-11-11	Fall	6	17	17	17	5.1	1.35	3.75		fine grained sawdust	fine grained sawdust	13	42	2.3					N			8						
S_f853855f	2	14	Human Excrement Compost				JM		4	2021-11-11	Fall	6	17	17	17	5.1	1.35	3.75		fine grained sawdust	fine grained sawdust	13.8	55	1.9					N			8.5			Y		Y	
S_b24add5f	2	15	Human Excrement Compost Pre-Roll				JM		5	2021-11-18	Fall	7	13	11	12	5.1	1.35	3.75		fine grained sawdust	fluid; fine grained sawdust	12.6	81	1.9					N			7.2	Added 100 mL Invitrogen ultra pure distilled water					
S_5db542ec	2	16	Added water				JM		5	2021-11-18	Fall																											
S_d643dafd	2	17	Human Excrement Compost				JM		5	2021-11-18	Fall	7	14	12	13	5.1	1.35	3.75		fine grained sawdust	fluid; fine grained sawdust	11.2	34	2					N			8.2			Y			Y
